"Trans_X","Trans_Y","Lon","Lat","Line","StopName"
-8360043.99876246,4863654.23216885,-75.099553,39.984253,"G1","Richmond St & Westmoreland St Loop"
-8360253.72468312,4863479.89316929,-75.101437,39.983053,"G1","Richmond St & Allegheny Av"
-8360514.76888902,4863295.38772987,-75.103782,39.981783,"G1","Richmond St & Clearfield St"
-8360907.61537203,4863028.36939527,-75.107311,39.979945,"G1","Richmond St & Ann St"
-8361080.27190225,4862904.45092168,-75.108862,39.979092,"G1","Richmond St & Cambria St"
-8361284.54316786,4862768.91232266,-75.110697,39.978159,"G1","Richmond St & Somerset St"
-8361552.15522373,4862587.0349239,-75.113101,39.976907,"G1","Richmond St & Lehigh Av"
-8361824.99929566,4862401.2386896,-75.115552,39.975628,"G1","Richmond St & Huntingdon St"
-8362101.73954977,4862212.8312038,-75.118038,39.974331,"G1","Richmond St & Cumberland St"
-8362274.61871898,4862029.36613212,-75.119591,39.973068,"G1","Richmond St & Girard Av"
-8362969.47498051,4861855.20092306,-75.125833,39.971869,"G1","Girard Av & Berks St"
-8363255.23211337,4861726.50365729,-75.1284,39.970983,"G1","Girard Av & Palmer St"
-8363480.43144325,4861622.21070851,-75.130423,39.970265,"G1","Girard Av & Columbia Av"
-8363933.50177078,4861387.6282044,-75.134493,39.96865,"G1","Frankford Av & Girard Av - FS"
-8363933.39045129,4861020.73194557,-75.134492,39.966124,"G1","Frankford Av & Richmond St"
-8363932.61121485,4860830.17201703,-75.134485,39.964812,"G1","Frankford Av & Delaware Av"
-8363895.7644634,4860849.48928224,-75.134154,39.964945,"G1","Frankford Av & Delaware Av Loop"
-8363916.69252767,4860887.25246563,-75.134342,39.965205,"G1","Frankford Av & Delaware Av - FS"
-8363916.2472497,4861003.88351183,-75.134338,39.966008,"G1","Frankford Av & Richmond St"
-8363917.69440308,4861405.63929621,-75.134351,39.968774,"G1","Frankford Av & Girard Av"
-8364109.60920521,4861424.3766764,-75.136075,39.968903,"G1","Girard Av & Front St"
-8364485.31248664,4861511.09198938,-75.13945,39.9695,"G1","Girard Av & 2nd St"
-8364700.82702081,4861554.5225564,-75.141386,39.969799,"G1","Girard Av & 3rd St"
-8364876.93445525,4861582.26592774,-75.142968,39.96999,"G1","Girard Av & 4th St"
-8365092.56030892,4861615.38377096,-75.144905,39.970218,"G1","Girard Av & 5th St"
-8365439.54316172,4861654.02139432,-75.148022,39.970484,"G1","Girard Av & 7th St"
-8365643.36914936,4861666.22278031,-75.149853,39.970568,"G1","Girard Av & 8th St"
-8366107.34878699,4861706.45840939,-75.154021,39.970845,"G1","Girard Av & 11th St"
-8366283.45622142,4861735.50950648,-75.155603,39.971045,"G1","Girard Av & 12th St"
-8366692.22139162,4861801.45581236,-75.159275,39.971499,"G1","Girard Av & Broad St"
-8367062.91529596,4861860.86596519,-75.162605,39.971908,"G1","Girard Av & 16th St"
-8367235.01522873,4861891.07957781,-75.164151,39.972116,"G1","Girard Av & 17th St"
-8367465.0012967,4861929.42775701,-75.166217,39.97238,"G1","Girard Av & Ridge Av"
-8367589.90176537,4861947.8756081,-75.167339,39.972507,"G1","Girard Av & 19th St"
-8367760.77718374,4861978.0894855,-75.168874,39.972715,"G1","Girard Av & 20th St"
-8367910.61321835,4862003.21936704,-75.17022,39.972888,"G1","Girard Av & Corinthian Av"
-8368536.67403457,4861940.03163573,-75.175844,39.972453,"G1","Girard Av & 24th St"
-8368710.22112072,4861945.69672626,-75.177403,39.972492,"G1","Poplar St & 25th St"
-8368858.27604347,4862161.26308576,-75.178733,39.973976,"G1","Girard Av & 26th St"
-8369030.48729573,4862194.09233556,-75.18028,39.974202,"G1","Girard Av & 27th St"
-8369194.79486414,4862219.22276385,-75.181756,39.974375,"G1","Girard Av & 28th St"
-8369373.46264686,4862248.13009818,-75.183361,39.974574,"G1","Girard Av & 29th St"
-8369728.34918351,4862311.31979045,-75.186549,39.975009,"G1","Girard Av & 31st St"
-8369890.09640363,4862338.92001212,-75.188002,39.975199,"G1","Girard Av & 33rd St"
-8370832.97249065,4862328.31570735,-75.196472,39.975126,"G1","Girard Av & 34th St - MBFS"
-8371413.05835718,4862238.97852092,-75.201683,39.974511,"G1","Girard Av & 39th St"
-8371731.43210085,4862187.846054,-75.204543,39.974159,"G1","Girard Av & 40th St - FS"
-8371923.45822246,4862159.81046659,-75.206268,39.973966,"G1","Girard Av & 41st St"
-8372204.98521468,4862115.06990041,-75.208797,39.973658,"G1","Girard Av & 42nd St"
-8372572.00557582,4862065.24541627,-75.212094,39.973315,"G1","Girard Av & Belmont Av"
-8373037.65500581,4861992.47016138,-75.216277,39.972814,"G1","Girard Av & Merion Av"
-8373347.90242666,4862007.43189676,-75.219064,39.972917,"G1","Girard Av & 49th St"
-8373834.81387938,4861872.34131685,-75.223438,39.971987,"G1","Girard Av & 51st St"
-8374096.63732173,4861797.67913985,-75.22579,39.971473,"G1","Girard Av & 52nd St"
-8374411.00356373,4861752.94020554,-75.228614,39.971165,"G1","Girard Av & 54th St"
-8374841.03075667,4861694.25697396,-75.232477,39.970761,"G1","Girard Av & 56th St"
-8375021.25701226,4861668.69211025,-75.234096,39.970585,"G1","Girard Av & 57th St"
-8375381.70952345,4861616.25529464,-75.237334,39.970224,"G1","Girard Av & 59th St"
-8375565.83196122,4861589.38334964,-75.238988,39.970039,"G1","Girard Av & 60th St"
-8375765.42780821,4861714.30219723,-75.240781,39.970899,"G1","Haverford Av & 61st St"
-8375979.49518901,4861822.22753687,-75.242704,39.971642,"G1","Haverford Av & 62nd St"
-8376195.12104268,4861858.97761745,-75.244641,39.971895,"G1","Haverford Av & 63rd St"
-8376190.33430457,4861616.54580255,-75.244598,39.970226,"G1","Girard Av & 63rd St - MBFS"
-8376190.33430457,4861616.54580255,-75.244598,39.970226,"G1","Girard Av & 63rd St - MBFS"
-8376036.4907683,4861592.8694357,-75.243216,39.970063,"G1","Girard Av & 62nd St"
-8375814.40838416,4861554.8130625,-75.241221,39.969801,"G1","Girard Av & 61st St"
-8375607.91072874,4861568.75736552,-75.239366,39.969897,"G1","Girard Av & 60th St"
-8375402.74890721,4861598.09856708,-75.237523,39.970099,"G1","Girard Av & 59th St"
-8375042.29639602,4861650.5352868,-75.234285,39.97046,"G1","Girard Av & 57th St"
-8374862.18145992,4861676.10010375,-75.232667,39.970636,"G1","Girard Av & 56th St"
-8374432.04294749,4861734.9284837,-75.228803,39.971041,"G1","Girard Av & 54th St"
-8374109.77302164,4861780.82938768,-75.225908,39.971357,"G1","Girard Av & 52nd St"
-8373868.98896306,4861851.71474489,-75.223745,39.971845,"G1","Girard Av & 51st St"
-8373287.45594315,4862016.29274097,-75.218521,39.972978,"G1","Girard Av & Lancaster Av"
-8373054.7982074,4861979.54207808,-75.216431,39.972725,"G1","Girard Av & Merion Av"
-8372557.53404202,4862049.70255256,-75.211964,39.973208,"G1","Girard Av & Belmont Av - FS"
-8372224.80008404,4862098.21960957,-75.208975,39.973542,"G1","Girard Av & 42nd St"
-8371952.40129007,4862139.03803579,-75.206528,39.973823,"G1","Girard Av & 41st St"
-8371730.09626696,4862170.99563964,-75.204531,39.974043,"G1","Girard Av & 40th St"
-8371426.30537658,4862207.89227385,-75.201802,39.974297,"G1","Girard Av & 39th St"
-8370862.02687775,4862286.91544783,-75.196733,39.974841,"G1","Girard Av & 34th St - MBFS"
-8369750.72440116,4862301.0060431,-75.18675,39.974938,"G1","Girard Av & 31st St"
-8369402.51703396,4862235.34694498,-75.183622,39.974486,"G1","Girard Av & 29th St"
-8369218.50591568,4862206.29438528,-75.181969,39.974286,"G1","Girard Av & 28th St"
-8369055.42286167,4862181.16398971,-75.180504,39.974113,"G1","Girard Av & 27th St"
-8368881.98709501,4862149.64213839,-75.178946,39.973896,"G1","Girard Av & 26th St"
-8368910.03960669,4861976.05585626,-75.179198,39.972701,"G1","26th St & Poplar St"
-8368795.71448965,4861938.14327293,-75.178171,39.97244,"G1","Poplar St & Stillman St"
-8368485.4670688,4861930.88034246,-75.175384,39.97239,"G1","College Av & 24th St - FS"
-8367932.988436,4861992.90593976,-75.170421,39.972817,"G1","Girard Av & Corinthian Av"
-8367784.48823528,4861966.61401162,-75.169087,39.972636,"G1","Girard Av & 20th St"
-8367612.27698302,4861936.2549105,-75.16754,39.972427,"G1","Girard Av & 19th St"
-8367504.51971593,4861919.11440637,-75.166572,39.972309,"G1","Girard Av & Ridge Av"
-8367257.39044637,4861878.29688433,-75.164352,39.972028,"G1","Girard Av & 17th St"
-8367085.29051361,4861849.24536943,-75.162806,39.971828,"G1","Girard Av & 16th St"
-8366727.73230918,4861791.14259467,-75.159594,39.971428,"G1","Girard Av & Broad St"
-8366307.16727296,4861723.88905744,-75.155816,39.970965,"G1","Girard Av & 12th St"
-8366129.72400464,4861693.53069851,-75.154222,39.970756,"G1","Girard Av & 11th St"
-8365664.40853312,4861651.98783145,-75.150042,39.97047,"G1","Girard Av & 8th St"
-8365460.58254548,4861639.78646296,-75.148211,39.970386,"G1","Girard Av & 7th St"
-8365113.59969268,4861602.45617866,-75.145094,39.970129,"G1","Girard Av & 5th St"
-8364724.53807235,4861541.74029621,-75.141599,39.969711,"G1","Girard Av & 3rd St"
-8364524.83090587,4861502.23159603,-75.139805,39.969439,"G1","Girard Av & 2nd St"
-8364141.11262111,4861416.82361967,-75.136358,39.968851,"G1","Girard Av & Front St"
-8363933.50177078,4861387.6282044,-75.134493,39.96865,"G1","Frankford Av & Girard Av - FS"
-8363933.39045129,4861020.73194557,-75.134492,39.966124,"G1","Frankford Av & Richmond St"
-8363932.61121485,4860830.17201703,-75.134485,39.964812,"G1","Frankford Av & Delaware Av"
-8363895.7644634,4860849.48928224,-75.134154,39.964945,"G1","Frankford Av & Delaware Av Loop"
-8363916.69252767,4860887.25246563,-75.134342,39.965205,"G1","Frankford Av & Delaware Av - FS"
-8363916.2472497,4861003.88351183,-75.134338,39.966008,"G1","Frankford Av & Richmond St"
