number_of_bathrooms,number_of_bedrooms,total_livable_area,total_area,sale_price,sale_date,central_air,year_built,shape,location,log_sale_price
1,3,1180,1085,180000,2024-10-18T04:00:00Z,NA,1925,SRID=2272;POINT(2676334.66598448 241258.549174297),5153 HOOPES ST,12.100712129872347
1,3,810,518,106500,2024-10-01T04:00:00Z,NA,1925,SRID=2272;POINT(2696391.977546 248729.57324649),1142 W NEVADA ST,11.575900264131617
1,3,990,1088,84000,2024-11-05T05:00:00Z,NA,1953,SRID=2272;POINT(2703404.75298667 269595.205409829),6062 N PHILIP ST,11.33857207782545
2,4,2346,2842,36000,2024-09-10T04:00:00Z,N,1790,SRID=2272;POINT(2690482.251167 264073.903142668),145 W QUEEN LN,10.491274217438248
3,4,2160,1160,655000,2024-10-13T04:00:00Z,Y,2019,SRID=2272;POINT(2691436.05688446 229102.973461048),1620 REED ST,13.39239051461739
1,3,1038,593,50000,2024-09-10T04:00:00Z,N,1940,SRID=2272;POINT(2699378.67669652 259855.639435259),4257 N DARIEN ST,10.819778284410283
1,3,1260,900,95000,2024-12-03T05:00:00Z,N,1950,SRID=2272;POINT(2729511.09736351 266359.010948545),4616 VISTA ST,11.461632170582678
2,4,1844,1507,30000,2024-06-04T04:00:00Z,Y,1920,SRID=2272;POINT(2693138.41898488 263510.806976216),19 W ROCKLAND ST,10.308952660644293
1,3,1092,1238,20000,2024-07-02T04:00:00Z,N,1945,SRID=2272;POINT(2701361.40443825 268640.264511812),5849 N MARSHALL ST,9.903487552536127
1,3,1324,1038,23000,2024-11-05T05:00:00Z,N,1945,SRID=2272;POINT(2717332.13838448 261854.270457091),5208 DUFFIELD ST,10.043249494911286
1,3,900,644,90000,2024-04-16T04:00:00Z,N,1925,SRID=2272;POINT(2695678.58198153 226089.004304876),616 HOFFMAN ST,11.407564949312402
1,3,976,1073,20000,2024-10-18T04:00:00Z,NA,1940,SRID=2272;POINT(2701505.57212547 261404.240607291),413 W COURTLAND ST,9.903487552536127
0,0,1931,1073,25000,2024-11-05T05:00:00Z,NA,1915,SRID=2272;POINT(2698562.52376753 249164.645085754),620 W YORK ST,10.126631103850338
1,3,920,773,40000,2024-12-03T05:00:00Z,Y,1925,SRID=2272;POINT(2693265.85904235 267335.854782226),512 E QUEEN LN,10.596634733096073
0,0,1080,4701,389000,2023-09-17T04:00:00Z,NA,1961,SRID=2272;POINT(2724978.57571905 287863.39063882),9508 RISING SUN AVE,12.871334622600584
2,3,1190,1099,76000,2024-12-03T05:00:00Z,Y,1920,SRID=2272;POINT(2706235.26974197 249617.586752043),2106 E CAMBRIA ST,11.238488619268468
0,0,2385,2538,52000,2024-09-10T04:00:00Z,NA,1935,SRID=2272;POINT(2698880.08447924 273043.96957748),1330 66TH AVE,10.858998997563564
1,3,1334,1547,106100,2024-06-02T04:00:00Z,N,1945,SRID=2272;POINT(2704468.20351739 267885.139333019),111 W GRANGE AVE,11.572137324602075
1,3,1278,2519,40000,2024-11-05T05:00:00Z,NA,1940,SRID=2272;POINT(2699776.71931525 266589.872788273),958 WAGNER AVE,10.596634733096073
1,0,1120,896,40000,2024-04-02T04:00:00Z,N,1935,SRID=2272;POINT(2697333.55971424 254603.168494593),1129 W WESTMORELAND ST,10.596634733096073
1,3,1344,945,41000,2024-12-03T05:00:00Z,Y,1915,SRID=2272;POINT(2716229.58330578 262109.417251125),1537 DYRE ST,10.621327345686446
0,0,1664,1342,40200,2024-10-09T04:00:00Z,NA,1920,SRID=2272;POINT(2693235.70249278 263422.360869435),16 W ROCKLAND ST,10.601622274607113
2,3,1845,11198,50000,2023-11-15T05:00:00Z,Y,1961,SRID=2272;POINT(2726355.90842181 290862.160966611),1110 NORWALK RD,10.819778284410283
1,3,1060,928,47000,2024-07-09T04:00:00Z,NA,1920,SRID=2272;POINT(2699815.54385911 251624.661872449),2835 N 5TH ST,10.757902880692196
1,4,2292,1984,399000,2024-06-30T04:00:00Z,N,1925,SRID=2272;POINT(2703162.13496988 244340.863285474),1355 E MONTGOMERY AVE,12.896716695872
1,3,1440,1125,185000,2023-07-31T04:00:00Z,N,1925,SRID=2272;POINT(2709355.06897987 257213.866597581),4040 K ST,12.128111104060462
0,0,1792,2050,309000,2023-08-01T04:00:00Z,N,1925,SRID=2272;POINT(2721016.13173513 254670.670378775),4819 GARDEN ST,12.641096555879882
1,3,1188,1384,101000,2024-09-16T04:00:00Z,NA,1950,SRID=2272;POINT(2718833.23713522 269580.996419252),6735 SOUDER ST,11.522875795823397
0,0,2370,1443,49500,2023-09-01T04:00:00Z,N,1915,SRID=2272;POINT(2705981.51182925 250218.335735581),2904 FRANKFORD AVE,10.809727948556782
2,3,1714,6785,480000,2024-07-14T04:00:00Z,Y,1955,SRID=2272;POINT(2727055.38515493 291818.224550394),9953 VERREE RD,13.081541382884074
2,4,1760,2016,410000,2024-07-07T04:00:00Z,N,1915,SRID=2272;POINT(2686027.01074285 275865.036926761),226 E DURHAM ST,12.92391243868049
1,3,1200,1140,130000,2024-09-05T04:00:00Z,N,1920,SRID=2272;POINT(2673896.73042065 226287.621080066),2111 S SIMPSON ST,11.77528972943772
1,3,1224,1440,30000,2024-12-03T05:00:00Z,NA,1925,SRID=2272;POINT(2695229.91215029 259852.952773069),1704 DOUNTON ST,10.308952660644293
1,2,830,1245,70000,2024-12-13T05:00:00Z,N,1920,SRID=2272;POINT(2694340.66499451 270947.83318789),6113 N BEECHWOOD ST,11.156250521031495
2,4,1442,1470,230000,2024-10-15T04:00:00Z,N,1930,SRID=2272;POINT(2695525.68980458 258088.481364594),3850 N 16TH ST,12.345834587905333
1,3,1360,2831,230000,2024-12-14T05:00:00Z,NA,1965,SRID=2272;POINT(2669250.50480103 216857.090148),8129 BUIST AVE,12.345834587905333
1,3,972,908,50000,2024-12-03T05:00:00Z,N,1940,SRID=2272;POINT(2693408.62253756 254859.5869752),3233 N 20TH ST,10.819778284410283
1,3,1016,952,90000,2024-09-30T04:00:00Z,Y,1888,SRID=2272;POINT(2709972.01799983 252350.920839616),3475 AMBER ST,11.407564949312402
1,3,1062,938,114250,2024-07-26T04:00:00Z,Y,1925,SRID=2272;POINT(2672104.02945166 235150.204337615),5836 PEMBERTON ST,11.646144308756451
1,3,1480,1576,215000,2024-12-03T05:00:00Z,N,1925,SRID=2272;POINT(2669887.66175774 243490.372385854),735 N 64TH ST,12.2783933071098
1,3,972,912,79600,2024-11-05T05:00:00Z,NA,1925,SRID=2272;POINT(2672666.22348107 234011.155807946),821 S ALDEN ST,11.284769371832475
0,0,2253,3327,172000,2024-12-10T05:00:00Z,NA,1925,SRID=2272;POINT(2669534.34693191 244972.634389661),1009 N 64TH ST,12.05524975579559
