Line,StopName,Lon,Lat
G1,Richmond St & Westmoreland St Loop,-75.099553,39.984253
G1,Richmond St & Allegheny Av,-75.101437,39.983053
G1,Richmond St & Clearfield St,-75.103782,39.981783
G1,Richmond St & Ann St,-75.107311,39.979945
G1,Richmond St & Cambria St,-75.108862,39.979092
G1,Richmond St & Somerset St,-75.110697,39.978159
G1,Richmond St & Lehigh Av,-75.113101,39.976907
G1,Richmond St & Huntingdon St,-75.115552,39.975628
G1,Richmond St & Cumberland St,-75.118038,39.974331
G1,Richmond St & Girard Av,-75.119591,39.973068
G1,Girard Av & Berks St,-75.125833,39.971869
G1,Girard Av & Palmer St,-75.1284,39.970983
G1,Girard Av & Columbia Av,-75.130423,39.970265
G1,Frankford Av & Girard Av - FS,-75.134493,39.96865
G1,Frankford Av & Richmond St,-75.134492,39.966124
G1,Frankford Av & Delaware Av,-75.134485,39.964812
G1,Frankford Av & Delaware Av Loop,-75.134154,39.964945
G1,Frankford Av & Delaware Av - FS,-75.134342,39.965205
G1,Frankford Av & Richmond St,-75.134338,39.966008
G1,Frankford Av & Girard Av,-75.134351,39.968774
G1,Girard Av & Front St,-75.136075,39.968903
G1,Girard Av & 2nd St,-75.13945,39.9695
G1,Girard Av & 3rd St,-75.141386,39.969799
G1,Girard Av & 4th St,-75.142968,39.96999
G1,Girard Av & 5th St,-75.144905,39.970218
G1,Girard Av & 7th St,-75.148022,39.970484
G1,Girard Av & 8th St,-75.149853,39.970568
G1,Girard Av & 11th St,-75.154021,39.970845
G1,Girard Av & 12th St,-75.155603,39.971045
G1,Girard Av & Broad St,-75.159275,39.971499
G1,Girard Av & 16th St,-75.162605,39.971908
G1,Girard Av & 17th St,-75.164151,39.972116
G1,Girard Av & Ridge Av,-75.166217,39.97238
G1,Girard Av & 19th St,-75.167339,39.972507
G1,Girard Av & 20th St,-75.168874,39.972715
G1,Girard Av & Corinthian Av,-75.17022,39.972888
G1,Girard Av & 24th St,-75.175844,39.972453
G1,Poplar St & 25th St,-75.177403,39.972492
G1,Girard Av & 26th St,-75.178733,39.973976
G1,Girard Av & 27th St,-75.18028,39.974202
G1,Girard Av & 28th St,-75.181756,39.974375
G1,Girard Av & 29th St,-75.183361,39.974574
G1,Girard Av & 31st St,-75.186549,39.975009
G1,Girard Av & 33rd St,-75.188002,39.975199
G1,Girard Av & 34th St - MBFS,-75.196472,39.975126
G1,Girard Av & 39th St,-75.201683,39.974511
G1,Girard Av & 40th St - FS,-75.204543,39.974159
G1,Girard Av & 41st St,-75.206268,39.973966
G1,Girard Av & 42nd St,-75.208797,39.973658
G1,Girard Av & Belmont Av,-75.212094,39.973315
G1,Girard Av & Merion Av,-75.216277,39.972814
